http://www.uscg.mil/top/downloads/models.asp,,,,,,
http://en.wikipedia.org/wiki/Wikipedia:Public_domain_image_resources,,,,,,
http://www.fws.gov/pictures/,,,,,,
http://www.loc.gov/,,,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/redcockadedwoodpeckers.html,"Red Cockaded Woodpecker",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/sandhillcranes.html,"Sandhill Cranes",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/seaturtle.html,"Sea Turtle",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/snakes.html,Snakes,,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/snowyegrets.html,"Snowy Egrets",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/snowyowls.html,"Snowy Owls",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/tortoises.html,Tortoises,,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/trumpeterswan.html,"Trumpeter Swans",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/turtles.html,Turtles,,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/uplandgamebirds.html,"Upland Game Birds",,,,,
http://www.fws.gov/pictures/lineart/bobsavannah/wolves.html,Wolves,,,,,
http://www.fws.gov/pictures/lineart/paulkerris/boyfishing.html,"Boy Fishing",,,,,
http://www.fws.gov/pictures/lineart/paulkerris/peoplehunting.html,"People Hunting",,,,,
http://www.fws.gov/pictures/lineart/paulkerris/swainsonshawks.html,"Swainson's Hawk Perched",,,,,
http://www.fws.gov/pictures/lineart/timothyknepp/aleutiangeese.html,"Aleutian Geese",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/baldeagle.html,"Bald Eagle",2,,,,
http://www.fws.gov/pictures/lineart/tomkelley/barrowowl.html,"Barrow Owl",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/blackcappedchickedee.html,"Black Capped Chickedee",1,,,,
http://www.fws.gov/pictures/lineart/tomkelley/bluewingedteal1.html,"Blue Wing Teal",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/butterfly.html,Butterfly,,,,,
http://www.fws.gov/pictures/lineart/tomkelley/nestingcanadageese.html,"Canada Geese",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/canvasbacks.html,"Canvas Back's",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/daddlerandducks.html,"Daddler Duck's",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/deerhead.html,"Deer's head",1,,,,
http://www.fws.gov/pictures/lineart/tomkelley/douseyourfire.html,"Douseing Your Fire",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/dunlin.html,Dunlin,,,,,
http://www.fws.gov/pictures/lineart/tomkelley/greatblueherons.html,"Great Blue Heron",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/henmallardandducklings.html,"Hen Mallard and Duckings",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/henwoodduckinnest.html,"Hen Wood Duck In Nest",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/muskrat.html,Muskrat,,,,,
http://www.fws.gov/pictures/lineart/tomkelley/northernpike.html,"Northern Pike",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/owl.html,Owl,,,,,
http://www.fws.gov/pictures/lineart/tomkelley/pheasantrooster.html,"Pheasant Rooster",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/plantatree.html,"Planting A Tree",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/prairiechicken.html,"Prairie Chicken",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/rabbit.html,Rabbit,,,,,
http://www.fws.gov/pictures/lineart/tomkelley/sandhillcrane.html,"Sandhill Crane",,,,,
http://www.fws.gov/pictures/lineart/tomkelley/whitetaildeers.html,"White Tailed Deer",,,,,
http://images.library.cornell.edu/," too big of a source needs breakdown",100000,,,,
http://www.library.cornell.edu/about/digital.html," too big needs breakdown",100000,,,,
http://culuna.library.cornell.edu:8082/BrowserInsight/BrowserInsight,"too big",100000,,,,
http://www.archive.org/index.php,"too big needs breakdown",100000,,,,
http://lcoat.tripod.com/shipdraw.htm,,,,,,
http://www.fromoldbooks.org/,,,,,,
http://wikitravel.org/en/Wikitravel:Mapmaking_Expedition,,,,,,
http://arcade.demon.co.uk/filepages/file39.htm,,,,,,
http://www.bayonet.net/clip_art/faq.html,,,,,,
http://dmoz.org/Computers/Graphics/Clip_Art/,,,,,,
http://www.canadiancontent.net/dir/Top/Computers/Graphics/Clip_Art/,,,,,,
http://commons.wikimedia.org/wiki/Category:Road_signs_of_Sweden,,,,,,
http://antiqueclipart.com/,,,,,,
http://www.iholidayclipart.com/,,,,,,
http://books.google.com/,"too big needs breakdown",,,,,
http://zuhause.org/dp/gfound1.html,,,,,,
http://zuhause.org/dp/gfound1.html,,,,,,
http://steinbeck.ucs.indiana.edu/novels/author.html,,,,,,
http://www.gutenberg.org/wiki/Main_Page,,,,,,
http://www.archive.org/details/americana,,,,,,
http://link.library.utoronto.ca/booksonline/,,,,,,
,"Traces of people's old photographs -  too big needs breakdown",,,,,
,"Historic Figures",,,,,
,Silhouettes,,,,,
,"Dot to dot drawings",,,,,
,"Coloring book drawings",,,,,
,"Fashion drawings from magazines pre copyright",,,,,
,"Fashion patterns pre copyright ",,,,,
,"Fabric textures from antique furniture ",,,,,
,"Shadow puppets",,,,,
,"Body parts for gluing together for a kids toy",,,,,
,"Paper dolls",,,,,
,"Paper doll clothes",,,,,
,"Finger puppets",,,,,
,Backgrounds,,,,,
,Landscapes,,,,,
,"Wallpaper (literally) from pre copyright",,,,,
,"Copy an entire visual dictionary pre-copyright if it exists I have one from the 80s and it's amazing http://visual.merriam-webster.com/",,,,,
,"Hand written recipies from family archives Openclipart cook book",,,,,
,"Old woodblooks (scan and trace)",,,,,
,"Old lino cuts (scan and trace)",,,,,
,"Illumination from books before copyright http://en.wikipedia.org/wiki/Illuminated_manuscript",,,,,
